,RVP_LAB,S.B5.213TI2804,S.B5.213PI2806,S.B5.213FC2602
2015-07-05,42.2,129.249502,320.6515704,91.06032949
2015-07-06,41.8,127.6481911,309.392873,95.83945238
2015-07-07,40.6,131.1079813,305.8906029,69.63528236
2015-07-08,37.6,141.9439097,326.5132446,70.84997092
2015-07-09,28.5,138.28107,312.5648796,69.88177626
2015-07-10,28.5,139.7384319,317.6159679,68.96354205
2015-07-11,30.7,136.3234351,340.0086521,71.60298347
2015-07-12,43.1,130.5314102,348.222883,94.69784332
2015-07-13,45.7,128.6121995,350.7676362,95.943019
2015-07-14,46.1,128.3821133,349.5807546,97.33201067
2015-07-15,41.8,130.9452246,332.2477463,94.98681474
2015-07-16,39,127.6400702,314.784067,94.98457084
2015-07-17,41.1,126.1629675,307.9412164,95.1167192
2015-07-18,38,131.2387677,307.1692508,87.84545977
2015-07-19,39.1,128.7682246,310.9646135,93.09648045
2015-07-20,39.9,130.2879939,310.9107355,88.76253145
2015-07-21,39.7,130.2194725,309.5018236,91.95923259
2015-07-22,38.6,130.2506036,307.0890732,92.73267032
2015-07-23,41.4,131.5852463,346.3064982,91.62667236
2015-07-24,50.4,127.8645216,346.1197379,98.72751824
2015-07-25,48.7,127.887037,365.3393154,95.56352407
2015-07-26,42.6,128.3472699,333.9459972,95.39586617
2015-07-27,46.6,127.7930103,349.2703072,94.41544249
2015-07-28,47.8,127.1656668,375.1143577,96.21687269
2015-07-29,51.8,127.970772,378.5539284,98.36799426
2015-07-30,58,127.5266689,393.8152054,99.61100522
2015-07-30,40.2,127.5266689,393.8152054,99.61100522
2015-07-31,46.8,130.1280933,360.9665946,90.14899972
2015-08-01,39.7,130.568044,355.6065111,91.00870357
2015-08-02,40.5,129.188336,333.1527572,89.94431318
2015-08-03,41.3,130.9444704,356.2672604,91.03727126
2015-08-03,48.7,130.9444704,356.2672604,91.03727126
2015-08-04,43.7,130.4613536,341.8944545,91.56356262
2015-08-04,45.3,130.4613536,341.8944545,91.56356262
2015-08-05,39.5,130.8899801,354.7862084,90.34662794
2015-08-06,46.1,130.8785077,355.3300821,92.48953014
2015-08-07,44.5,131.756382,347.6422443,90.62127504
2015-08-08,45,130.5655668,343.465759,95.37830025
2015-08-09,42.6,130.0518456,344.9371599,93.20352939
2015-08-10,42.1,131.1967507,369.2372553,91.08016411
2015-08-11,41,127.8298071,383.95138,95.94997396
2015-08-12,41.5,128.2885739,320.37218,94.18798185
2015-08-13,47.2,128.4046155,332.7691682,95.65790027
2015-08-14,42.2,129.624825,334.8969927,93.17661851
2015-08-15,42.6,129.4441271,332.0336254,91.68655753
2015-08-16,44.4,129.9683751,336.9296763,92.0007842
2015-08-17,40.1,128.9165981,326.0286265,92.28313962
2015-08-18,41.1,130.7076606,336.086158,90.03300555
2015-08-19,37.2,130.7437504,321.1103167,92.09700961
2015-08-20,39.6,129.0743945,342.0096357,93.42144914
2015-08-21,36,130.5831681,311.6183061,87.59801262
2015-08-22,44.1,129.1220571,325.8050151,88.80256041
2015-08-23,45.2,130.2660289,344.8362809,90.23442406
2015-08-24,44.6,131.1865494,336.354408,88.7953163
2015-08-25,42.5,130.2083983,326.9572764,90.9055616
2015-08-26,34.9,130.8649757,308.9490856,88.61369159
2015-08-27,36.7,129.0873438,316.894981,89.61330588
2015-08-28,37.6,130.2154062,327.4293957,91.34160588
2015-08-28,37.3,130.2154062,327.4293957,91.34160588
2015-08-29,39.5,131.7926094,332.6026096,87.82378989
2015-08-30,39.8,131.5431885,328.473258,93.90728007
2015-08-31,37.8,131.3966729,322.2642062,94.06510313
2015-09-01,42.6,130.7905498,318.2448259,92.30331178
2015-09-02,40.2,132.6164692,319.657584,91.78562705
2015-09-03,37.1,132.3891776,310.8317665,88.38925378
2015-09-04,36.7,133.1830912,320.0206025,91.61869353
2015-09-05,34.5,132.6169065,309.8399416,88.37526386
2015-09-06,34.4,132.3614911,308.4019166,91.83078497
2015-09-07,38,130.9179684,313.5157541,91.28792134
2015-09-08,36.7,131.1136579,310.8024886,91.3946973
2015-09-09,39.5,131.139818,313.1451956,91.12838158
2015-09-10,37.1,132.1788989,306.3686536,90.70791335
2015-09-11,33.6,132.5978395,309.2764679,90.94715071
2015-09-12,34.4,133.372554,319.9609954,88.79963978
2015-09-13,37,130.9223717,312.6344588,93.76087116
2015-09-14,36.8,131.1297008,312.2545015,93.97812152
2015-09-15,39.1,129.7515755,316.7297691,99.21626521
2015-09-16,39.8,130.9465928,318.1826697,95.62450863
2015-09-17,39.5,130.8931385,311.4693005,90.71792253
2015-09-18,36.8,131.8678935,309.8182874,92.60957625
2015-09-19,39.2,132.3291219,309.4726132,91.50673192
2015-09-20,37.5,132.922483,308.1443024,92.95612546
2015-09-21,35.6,132.9407335,311.9516581,92.08372382
2015-09-22,34.3,131.23174,309.7356904,93.36602581
2015-09-23,41.4,130.1226752,309.76371,94.91634019
2015-09-24,35.2,134.6080997,326.3127076,93.62637436
2015-09-25,40.1,131.3170823,311.9061381,93.57608407
2015-09-26,34.2,132.948606,325.8276735,96.39574322
2015-09-27,35.6,132.2109069,313.9608122,94.06549492
2015-09-28,48.5,131.6922999,325.6828377,95.61269553
2015-09-28,40.1,131.6922999,325.6828377,95.61269553
2015-09-29,36.7,131.4157004,311.8377581,92.06853656
2015-09-30,36.3,131.9953119,314.3519776,93.65117073
2015-10-01,38,131.0774369,309.9785581,94.82874797
2015-10-02,38.5,132.0839425,318.3979286,90.61299098
2015-10-03,37.8,130.1878591,306.8610101,89.16675002
2015-10-04,38.9,131.3295042,318.1591287,79.81847694
2015-10-05,35.1,132.2321184,309.541342,88.34397825
2015-10-06,36.4,131.8101374,310.3645512,89.83973717
2015-10-07,35,131.7866141,310.6380287,90.19825657
2015-10-08,35.7,132.3849541,316.0987903,87.98782734
2015-10-09,36.8,131.6376186,324.5531587,90.01156632
2015-10-10,38.8,131.1491295,311.1002527,91.5385739
2015-10-11,37.8,131.6937148,314.6382176,87.95038905
2015-10-12,39.8,131.0287704,307.7322319,86.68692901
2015-10-13,37.4,132.0517123,315.1103751,88.78948337
2015-10-14,37.6,132.1427502,311.4317356,91.00611986
2015-10-15,35.5,131.9699314,308.0030965,92.62345651
2015-10-16,39,132.2212165,317.7434322,90.529342
2015-10-17,37.1,132.247099,311.0042396,91.25398408
2015-10-18,37.9,131.5759136,311.8942592,92.44673278
2015-10-19,37.7,131.7781793,313.1088752,90.61143021
2015-10-20,38.7,131.2723343,316.6825327,94.4819474
2015-10-21,35.1,131.1064524,310.4763389,88.87091677
2015-10-22,35.9,131.8444136,312.0336184,89.06073921
2015-10-23,35.5,131.9751705,313.7633261,89.06134002
2015-10-24,39.1,131.3793809,313.371235,88.47075281
2015-10-25,39.1,131.8685006,314.573871,85.0355754
2015-10-26,39.4,133.116585,308.0000561,82.58232829
2015-10-27,35.4,132.516459,317.9412344,81.21727635
2015-10-28,37.2,132.2684323,305.4262318,86.94031044
2015-10-29,36.7,132.640275,314.1929202,82.47582701
2015-10-30,37,131.8605234,309.8632478,86.66485882
2015-10-31,36.3,132.0887509,317.1098442,87.02383867
2015-11-01,37.5,131.7125905,320.9587442,84.46526816
2015-11-02,38.6,130.8467422,308.8430849,86.42179546
2015-11-03,36.4,131.6730167,316.6786999,84.92144373
2015-11-04,37.7,130.3289599,313.264949,86.36859879
2015-11-05,40.6,132.3096796,314.9116485,80.58799877
2015-11-06,38.2,131.8907697,312.2950217,85.20350128
2015-11-07,36.8,132.195328,311.207654,78.99963487
2015-11-08,38.4,133.3463983,315.834563,79.3007267
2015-11-09,38.5,133.0474148,310.0109495,80.69295533
2015-11-10,39.2,131.0247382,306.4882505,81.85166541
2015-11-11,38.9,131.3896537,305.3018034,80.41136243
2015-11-12,37.7,132.67355,320.7119323,76.91696485
2015-11-13,39.5,131.2832001,305.8924485,80.413194
2015-11-14,35.5,132.2295707,313.8289732,79.19061768
2015-11-15,38.5,131.1037109,318.4897669,81.16961888
2015-11-16,38.4,130.1832114,318.3492484,85.8519673
2015-11-17,39.2,130.0780276,320.0669219,81.64386708
2015-11-18,39.9,129.6529169,314.7021222,82.10245621
2015-11-19,43.9,129.4033891,319.0515084,82.62139779
2015-11-19,40.9,129.4033891,319.0515084,82.62139779
2015-11-20,41.1,130.7323651,316.1113729,84.2026862
2015-11-21,38.7,130.9687213,302.9699871,84.9261862
2015-11-22,39.3,131.3777624,311.1804689,85.97750938
2015-11-23,38.7,132.3931895,309.6919208,84.99004017
2015-11-24,38.4,131.8082125,310.9774845,87.53708846
2015-11-25,38.7,132.4090342,310.8340018,86.09458734
2015-11-26,38.1,131.8779063,307.1834921,92.286906
2015-11-27,38.2,132.2095005,306.5634432,86.01256456
2015-11-28,39.3,133.0817632,316.6216698,83.80483765
2015-11-29,39.1,132.0500599,309.8706507,83.27638295
2015-11-30,37.2,132.095732,321.7492752,86.34260569
2015-12-01,37.3,131.7859227,321.2075076,87.29931141
2015-12-02,38.9,131.7466581,315.7724554,80.31067836
2015-12-03,37.2,131.5939707,314.9527072,79.87230723
2015-12-04,39.5,130.2680269,315.8948631,81.47786923
2015-12-05,39.9,130.9039796,315.6399192,79.51566559
2015-12-06,40.7,130.6528391,313.7567448,79.54564479
2015-12-07,40.3,131.0925005,314.2164587,80.50811611
2015-12-08,37.5,131.9161632,311.1845477,80.87816869
2015-12-09,37.9,130.7573459,309.0657148,83.77066837
2015-12-10,38.4,131.7181246,311.6496622,84.67556824
2015-12-11,39.4,131.2671813,312.1775597,86.85942815
2015-12-12,37.8,131.6426666,306.6896668,91.52042609
2015-12-13,39.1,131.6609427,305.2980445,88.51770547
2015-12-14,37.9,131.6816506,305.6339888,91.3600687
2015-12-15,38.3,131.7544631,308.4155179,90.38410249
